post_id	coremembers	milescovered
9215	a:20:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:2:"21";i:3;s:3:"745";i:4;s:2:"30";i:5;s:2:"24";i:6;s:2:"13";i:7;s:1:"9";i:8;s:2:"27";i:9;s:3:"170";i:10;s:2:"33";i:11;s:3:"741";i:12;s:2:"26";i:13;s:2:"77";i:14;s:1:"5";i:15;s:2:"10";i:16;s:2:"58";i:17;s:2:"34";i:18;s:1:"6";i:19;s:2:"29";}	300
9411	a:18:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:3:"804";i:3;s:3:"803";i:4;s:1:"2";i:5;s:2:"21";i:6;s:3:"743";i:7;s:3:"714";i:8;s:2:"55";i:9;s:2:"24";i:10;s:1:"9";i:11;s:2:"33";i:12;s:3:"713";i:13;s:3:"509";i:14;s:2:"69";i:15;s:3:"741";i:16;s:2:"10";i:17;s:3:"782";}	153
9458	a:20:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:2:"66";i:3;s:2:"21";i:4;s:2:"30";i:5;s:2:"55";i:6;s:2:"37";i:7;s:1:"9";i:8;s:3:"726";i:9;s:2:"33";i:10;s:3:"762";i:11;s:3:"799";i:12;s:3:"156";i:13;s:3:"792";i:14;s:2:"10";i:15;s:3:"796";i:16;s:2:"34";i:17;s:3:"802";i:18;s:2:"29";i:19;s:2:"68";}	1100
9864	a:51:{i:0;s:3:"871";i:1;s:3:"725";i:2;s:3:"854";i:3;s:3:"754";i:4;s:3:"864";i:5;s:3:"887";i:6;s:3:"888";i:7;s:3:"885";i:8;s:1:"2";i:9;s:2:"21";i:10;s:3:"866";i:11;s:3:"873";i:12;s:3:"745";i:13;s:3:"879";i:14;s:3:"714";i:15;s:2:"23";i:16;s:2:"24";i:17;s:1:"9";i:18;s:3:"870";i:19;s:3:"886";i:20;s:3:"874";i:21;s:3:"884";i:22;s:3:"878";i:23;s:1:"8";i:24;s:3:"752";i:25;s:3:"509";i:26;s:3:"877";i:27;s:3:"872";i:28;s:3:"741";i:29;s:3:"781";i:30;s:3:"875";i:31;s:3:"749";i:32;s:3:"869";i:33;s:3:"799";i:34;s:3:"880";i:35;s:3:"152";i:36;s:3:"156";i:37;s:2:"10";i:38;s:3:"135";i:39;s:3:"849";i:40;s:3:"760";i:41;s:3:"897";i:42;s:3:"836";i:43;s:3:"782";i:44;s:3:"876";i:45;s:3:"867";i:46;s:3:"883";i:47;s:2:"34";i:48;s:3:"826";i:49;s:1:"6";i:50;s:2:"29";}	747
10459	a:20:{i:0;s:3:"854";i:1;s:3:"804";i:2;s:3:"889";i:3;s:2:"55";i:4;s:2:"98";i:5;s:2:"27";i:6;s:3:"874";i:7;s:1:"8";i:8;s:2:"33";i:9;s:3:"799";i:10;s:3:"156";i:11;s:1:"5";i:12;s:3:"792";i:13;s:3:"782";i:14;s:3:"796";i:15;s:3:"876";i:16;s:3:"867";i:17;s:3:"802";i:18;s:2:"29";i:19;s:2:"68";}	290
10498	a:37:{i:0;s:3:"871";i:1;s:3:"803";i:2;s:3:"136";i:3;s:1:"2";i:4;s:3:"121";i:5;s:3:"165";i:6;s:2:"55";i:7;s:2:"37";i:8;s:2:"44";i:9;s:3:"870";i:10;s:3:"906";i:11;s:3:"840";i:12;s:3:"874";i:13;s:3:"875";i:14;s:3:"749";i:15;s:3:"881";i:16;s:3:"762";i:17;s:3:"869";i:18;s:3:"900";i:19;s:3:"880";i:20;s:1:"5";i:21;s:3:"792";i:22;s:3:"902";i:23;s:3:"146";i:24;s:3:"903";i:25;s:3:"893";i:26;s:2:"41";i:27;s:3:"897";i:28;s:3:"895";i:29;s:3:"796";i:30;s:3:"876";i:31;s:3:"867";i:32;s:2:"58";i:33;s:1:"6";i:34;s:3:"860";i:35;s:3:"797";i:36;s:2:"29";}	76
10580	a:24:{i:0;s:3:"725";i:1;s:3:"754";i:2;s:2:"73";i:3;s:2:"21";i:4;s:3:"745";i:5;s:3:"714";i:6;s:2:"30";i:7;s:2:"23";i:8;s:2:"24";i:9;s:2:"13";i:10;s:1:"9";i:11;s:3:"726";i:12;s:3:"170";i:13;s:2:"33";i:14;s:3:"509";i:15;s:3:"741";i:16;s:2:"28";i:17;s:2:"77";i:18;s:3:"799";i:19;s:3:"156";i:20;s:2:"10";i:21;s:3:"135";i:22;s:3:"849";i:23;s:2:"34";}	2565
11022	a:24:{i:0;s:3:"871";i:1;s:3:"754";i:2;s:2:"73";i:3;s:3:"804";i:4;s:2:"55";i:5;s:2:"24";i:6;s:1:"9";i:7;s:3:"726";i:8;s:2:"33";i:9;s:2:"35";i:10;s:3:"779";i:11;s:3:"509";i:12;s:3:"913";i:13;s:3:"881";i:14;s:3:"914";i:15;s:2:"26";i:16;s:3:"152";i:17;s:3:"156";i:18;s:2:"10";i:19;s:3:"135";i:20;s:3:"849";i:21;s:3:"796";i:22;s:3:"867";i:23;s:3:"826";}	480
11054	a:24:{i:0;s:1:"2";i:1;s:3:"873";i:2;s:3:"745";i:3;s:2:"55";i:4;s:2:"98";i:5;s:2:"13";i:6;s:2:"27";i:7;s:1:"8";i:8;s:3:"793";i:9;s:3:"869";i:10;s:3:"799";i:11;s:3:"880";i:12;s:1:"5";i:13;s:3:"792";i:14;s:3:"146";i:15;s:3:"760";i:16;s:3:"915";i:17;s:3:"780";i:18;s:3:"782";i:19;s:3:"867";i:20;s:3:"802";i:21;s:3:"904";i:22;s:1:"6";i:23;s:2:"29";}	1350
11150	a:20:{i:0;s:1:"2";i:1;s:3:"745";i:2;s:3:"714";i:3;s:2:"30";i:4;s:2:"23";i:5;s:2:"24";i:6;s:2:"13";i:7;s:2:"27";i:8;s:1:"8";i:9;s:2:"35";i:10;s:3:"741";i:11;s:2:"28";i:12;s:2:"26";i:13;s:2:"77";i:14;s:2:"64";i:15;s:1:"5";i:16;s:2:"16";i:17;s:2:"34";i:18;s:1:"6";i:19;s:2:"68";}	1350
